W0, SFE_crit, eta, eta_over_eta_plus_2, rt_over_rh, rh_gas_over_rh_star, f_halo_Wss, f_halo_Wsg
0.500000, 0.248389, 0.660950, 0.248389, 2.876103, 1.294611, 0.615643, 0.684027
1.000000, 0.244845, 0.648464, 0.244845, 2.992484, 1.315929, 0.611782, 0.683687
1.500000, 0.240788, 0.634311, 0.240788, 3.130587, 1.341576, 0.607284, 0.683285
2.000000, 0.236141, 0.618285, 0.236141, 3.295450, 1.372652, 0.602038, 0.682806
2.500000, 0.230816, 0.600160, 0.230816, 3.493476, 1.410609, 0.595911, 0.682237
3.000000, 0.224715, 0.579698, 0.224715, 3.732833, 1.457386, 0.588740, 0.681559
3.500000, 0.217727, 0.556652, 0.217727, 4.023945, 1.515598, 0.580325, 0.680754
4.000000, 0.209730, 0.530779, 0.209730, 4.380017, 1.588800, 0.570413, 0.679804
4.500000, 0.200596, 0.501865, 0.200596, 4.817378, 1.681812, 0.558680, 0.678698
5.000000, 0.190210, 0.469777, 0.190210, 5.355024, 1.800995, 0.544714, 0.677441
5.500000, 0.178500, 0.434571, 0.178500, 6.011772, 1.954125, 0.528002, 0.676078
6.000000, 0.165512, 0.396679, 0.165512, 6.797320, 2.148769, 0.507946, 0.674744
6.500000, 0.151538, 0.357207, 0.151538, 7.690358, 2.386676, 0.483997, 0.673756
6.600000, 0.148679, 0.349291, 0.148679, 7.875487, 2.438484, 0.478716, 0.673649
6.800000, 0.142959, 0.333610, 0.142959, 8.243377, 2.544394, 0.467677, 0.673579
7.000000, 0.137303, 0.318310, 0.137303, 8.597231, 2.650623, 0.456057, 0.673756
7.200000, 0.131807, 0.303636, 0.131807, 8.921075, 2.752808, 0.443965, 0.674256
7.400000, 0.126581, 0.289852, 0.126581, 9.196379, 2.845476, 0.431575, 0.675162
7.500000, 0.124106, 0.283381, 0.124106, 9.309781, 2.886332, 0.425344, 0.675792
7.600000, 0.121742, 0.277236, 0.121742, 9.403955, 2.922502, 0.419138, 0.676551
7.800000, 0.117409, 0.266054, 0.117409, 9.526988, 2.977970, 0.406975, 0.678480
8.000000, 0.113689, 0.256544, 0.113689, 9.554698, 3.007346, 0.395464, 0.680967
8.200000, 0.110672, 0.248889, 0.110672, 9.485465, 3.008605, 0.385005, 0.683975
8.400000, 0.108416, 0.243199, 0.108416, 9.328072, 2.982869, 0.375970, 0.687403
8.500000, 0.107582, 0.241103, 0.107582, 9.221591, 2.961062, 0.372083, 0.689224
8.600000, 0.106944, 0.239501, 0.106944, 9.100214, 2.934223, 0.368653, 0.691086
8.800000, 0.106240, 0.237737, 0.106240, 8.824726, 2.868729, 0.363228, 0.694824
9.000000, 0.106253, 0.237770, 0.106253, 8.525052, 2.793090, 0.359740, 0.698411
9.000000, 0.106253, 0.237770, 0.106253, 8.525052, 2.793090, 0.359740, 0.698411
9.200000, 0.106904, 0.239402, 0.106904, 8.221564, 2.713449, 0.358105, 0.701667
9.400000, 0.108095, 0.242392, 0.108095, 7.929618, 2.634672, 0.358145, 0.704466
9.500000, 0.108860, 0.244315, 0.108860, 7.791303, 2.596717, 0.358718, 0.705670
9.600000, 0.109718, 0.246479, 0.109718, 7.659264, 2.560133, 0.359615, 0.706738
9.800000, 0.111663, 0.251398, 0.111663, 7.416020, 2.491861, 0.362245, 0.708469
10.000000, 0.113827, 0.256897, 0.113827, 7.202032, 2.430842, 0.365762, 0.709685
10.000000, 0.113827, 0.256897, 0.113827, 7.202032, 2.430841, 0.365762, 0.709685
10.200000, 0.116117, 0.262744, 0.116117, 7.017221, 2.377337, 0.369909, 0.710441
10.400000, 0.118452, 0.268736, 0.118452, 6.860188, 2.331161, 0.374460, 0.710803
10.500000, 0.119614, 0.271732, 0.119614, 6.791456, 2.310692, 0.376825, 0.710858
10.600000, 0.120764, 0.274702, 0.120764, 6.728866, 2.291880, 0.379222, 0.710841
