W0, SFE_crit_notrunc, SFE_crit_trunc, rSF_over_rt
0.500000, 0.248389, 0.248410, 0.978921
1.500000, 0.240788, 0.240820, 0.973861
2.500000, 0.230816, 0.230867, 0.966599
3.500000, 0.217727, 0.217816, 0.955532
4.500000, 0.200596, 0.200777, 0.937547
5.500000, 0.178500, 0.178894, 0.910056
6.500000, 0.151538, 0.152423, 0.869701
7.000000, 0.137303, 0.138573, 0.846085
7.400000, 0.126581, 0.128177, 0.828678
7.500000, 0.124106, 0.125793, 0.824182
7.800000, 0.117409, 0.119289, 0.814593
8.200000, 0.110672, 0.112690, 0.807543
8.500000, 0.107582, 0.109606, 0.806884
8.600000, 0.106944, 0.108934, 0.808141
9.000000, 0.106253, 0.108072, 0.815698
9.400000, 0.108095, 0.109666, 0.827849
9.500000, 0.108860, 0.110383, 0.830485
9.800000, 0.111663, 0.113008, 0.840277
10.200000, 0.116117, 0.117258, 0.852401
10.500000, 0.119614, 0.120640, 0.859841
10.600000, 0.120764, 0.121749, 0.862474
11.000000, 0.125116, 0.125995, 0.869900
11.500000, 0.129711, 0.130508, 0.875977
12.500000, 0.135357, 0.136077, 0.881850
13.500000, 0.136630, 0.137373, 0.880173
14.500000, 0.134902, 0.135730, 0.874040
15.500000, 0.131848, 0.132765, 0.867853
16.500000, 0.129002, 0.129982, 0.863594
17.500000, 0.127349, 0.128359, 0.861729
18.500000, 0.127086, 0.128082, 0.862675
19.500000, 0.127772, 0.128741, 0.864608
