kind(0=King;1=Plummer;2..4=Dehnen g=0/1/2), W0, SFE, neg_frac, worst_rel_negativity, f_max
0, 0.5, 0.34670387, 0.0005, -9178.7639, 0.10677498
0, 1, 0.33960204, 0.0005, -7939.9044, 0.071450735
0, 2, 0.32136697, 0.0005, -5595.2369, 0.054841068
0, 3, 0.29788166, 0.0005, -3618.5069, 0.053203642
0, 4, 0.26859738, 0.0005, -2103.0767, 0.056940755
0, 5, 0.2276117, 0.0005, -1218.5571, 0.062935269
0, 6, 0.17878453, 0.0005, -1457.4447, 0.071626254
0, 7, 0.12489097, 0.0005, -1765.4304, 0.083423343
0, 8, 0.077055162, 0.0005, -2213.7186, 0.09963093
0, 9, 0.0472146, 0.0005, -2896.2556, 0.12125392
0, 10, 0.032084323, 0.0005, -3920.7699, 0.1437028
0, 12, 0.019524113, 0.0005, -7662.7095, 0.18429659
0, 14, 0.018348734, 0.0005, -12507.725, 0.31096985
0, 16, 0.022724076, 0.0005, -11742.696, 0.68490505
0, 18, 0.023848395, 0.0005, -11267.983, 1.2127329
0, 20, 0.022412689, 0.0005, -12550.037, 1.8845691
1, nan, 0.15, 0, 2.1261803e-29, 2.6752764e+12
2, nan, 0.09, 0, 2.0576769e-34, 2.1412793e+19
3, nan, 0.0241, 0, 7.9199635e-37, 5.4713348e+20
4, nan, 0.0148, 0, 3.2119361e-32, 3.7769801e+15
