kind(0=King;1=Plummer;2..4=Dehnen g=0/1/2), W0(NaN for published), SFE, F_b
0.000000, 0.500000, 0.000000, 0.000000
0.000000, 0.500000, 0.320000, 0.000000
0.000000, 0.500000, 0.340000, 0.000000
0.000000, 0.500000, 0.360000, 0.739209
0.000000, 0.500000, 0.380000, 0.841279
0.000000, 0.500000, 0.400000, 0.897573
0.000000, 0.500000, 0.420000, 0.933579
0.000000, 0.500000, 0.440000, 0.957590
0.000000, 0.500000, 0.460000, 0.973767
0.000000, 0.500000, 0.480000, 0.984549
0.000000, 0.500000, 0.500000, 0.991536
0.000000, 0.500000, 0.520000, 0.995842
0.000000, 0.500000, 0.540000, 0.998281
0.000000, 0.500000, 0.560000, 0.999476
0.000000, 0.500000, 0.580000, 0.999917
0.000000, 0.500000, 0.600000, 0.999999
0.000000, 2.000000, 0.000000, 0.000000
0.000000, 2.000000, 0.300000, 0.000000
0.000000, 2.000000, 0.320000, 0.000000
0.000000, 2.000000, 0.340000, 0.708624
0.000000, 2.000000, 0.360000, 0.806558
0.000000, 2.000000, 0.380000, 0.866307
0.000000, 2.000000, 0.400000, 0.906979
0.000000, 2.000000, 0.420000, 0.935688
0.000000, 2.000000, 0.440000, 0.956258
0.000000, 2.000000, 0.460000, 0.970992
0.000000, 2.000000, 0.480000, 0.981439
0.000000, 2.000000, 0.500000, 0.988701
0.000000, 2.000000, 0.520000, 0.993586
0.000000, 2.000000, 0.540000, 0.996709
0.000000, 2.000000, 0.560000, 0.998554
0.000000, 2.000000, 0.580000, 0.999512
0.000000, 2.000000, 0.600000, 0.999903
0.000000, 4.000000, 0.000000, 0.000000
0.000000, 4.000000, 0.240000, 0.000000
0.000000, 4.000000, 0.260000, 0.000000
0.000000, 4.000000, 0.280000, 0.542798
0.000000, 4.000000, 0.300000, 0.677437
0.000000, 4.000000, 0.320000, 0.760068
0.000000, 4.000000, 0.340000, 0.818982
0.000000, 4.000000, 0.360000, 0.862992
0.000000, 4.000000, 0.380000, 0.896575
0.000000, 4.000000, 0.400000, 0.922468
0.000000, 4.000000, 0.420000, 0.942484
0.000000, 4.000000, 0.440000, 0.957953
0.000000, 4.000000, 0.460000, 0.969838
0.000000, 4.000000, 0.480000, 0.978884
0.000000, 4.000000, 0.500000, 0.985673
0.000000, 4.000000, 0.520000, 0.990667
0.000000, 4.000000, 0.540000, 0.994240
0.000000, 4.000000, 0.560000, 0.996697
0.000000, 4.000000, 0.580000, 0.998295
0.000000, 4.000000, 0.600000, 0.999250
0.000000, 6.000000, 0.000000, 0.000000
0.000000, 6.000000, 0.140000, 0.000000
0.000000, 6.000000, 0.160000, 0.000000
0.000000, 6.000000, 0.180000, 0.141426
0.000000, 6.000000, 0.200000, 0.458435
0.000000, 6.000000, 0.220000, 0.571131
0.000000, 6.000000, 0.240000, 0.654381
0.000000, 6.000000, 0.260000, 0.719895
0.000000, 6.000000, 0.280000, 0.772773
0.000000, 6.000000, 0.300000, 0.815919
0.000000, 6.000000, 0.320000, 0.851318
0.000000, 6.000000, 0.340000, 0.880453
0.000000, 6.000000, 0.360000, 0.904460
0.000000, 6.000000, 0.380000, 0.924205
0.000000, 6.000000, 0.400000, 0.940412
0.000000, 6.000000, 0.420000, 0.953654
0.000000, 6.000000, 0.440000, 0.964426
0.000000, 6.000000, 0.460000, 0.973119
0.000000, 6.000000, 0.480000, 0.980069
0.000000, 6.000000, 0.500000, 0.985559
0.000000, 6.000000, 0.520000, 0.989832
0.000000, 6.000000, 0.540000, 0.993092
0.000000, 6.000000, 0.560000, 0.995518
0.000000, 6.000000, 0.580000, 0.997262
0.000000, 6.000000, 0.600000, 0.998460
0.000000, 8.000000, 0.000000, 0.000000
0.000000, 8.000000, 0.040000, 0.000000
0.000000, 8.000000, 0.060000, 0.000000
0.000000, 8.000000, 0.080000, 0.149659
