series(0=virial_curve;1=dfcont_curve;2=king_pt;3=pub), x(W0 or ordinal), virial, df_cont, df_mc, df_mc_err, nbody, censored, valid
0.000000, 0.500000, 0.248389, nan, nan, nan, nan, nan, nan
0.000000, 1.000000, 0.244845, nan, nan, nan, nan, nan, nan
0.000000, 1.500000, 0.240788, nan, nan, nan, nan, nan, nan
0.000000, 2.000000, 0.236141, nan, nan, nan, nan, nan, nan
0.000000, 2.500000, 0.230816, nan, nan, nan, nan, nan, nan
0.000000, 3.000000, 0.224715, nan, nan, nan, nan, nan, nan
0.000000, 3.500000, 0.217727, nan, nan, nan, nan, nan, nan
0.000000, 4.000000, 0.209730, nan, nan, nan, nan, nan, nan
0.000000, 4.500000, 0.200596, nan, nan, nan, nan, nan, nan
0.000000, 5.000000, 0.190210, nan, nan, nan, nan, nan, nan
0.000000, 5.500000, 0.178500, nan, nan, nan, nan, nan, nan
0.000000, 6.000000, 0.165512, nan, nan, nan, nan, nan, nan
0.000000, 6.500000, 0.151538, nan, nan, nan, nan, nan, nan
0.000000, 6.600000, 0.148679, nan, nan, nan, nan, nan, nan
0.000000, 6.800000, 0.142959, nan, nan, nan, nan, nan, nan
0.000000, 7.000000, 0.137303, nan, nan, nan, nan, nan, nan
0.000000, 7.200000, 0.131807, nan, nan, nan, nan, nan, nan
0.000000, 7.400000, 0.126581, nan, nan, nan, nan, nan, nan
0.000000, 7.500000, 0.124106, nan, nan, nan, nan, nan, nan
0.000000, 7.600000, 0.121742, nan, nan, nan, nan, nan, nan
0.000000, 7.800000, 0.117409, nan, nan, nan, nan, nan, nan
0.000000, 8.000000, 0.113689, nan, nan, nan, nan, nan, nan
0.000000, 8.200000, 0.110672, nan, nan, nan, nan, nan, nan
0.000000, 8.400000, 0.108416, nan, nan, nan, nan, nan, nan
0.000000, 8.500000, 0.107582, nan, nan, nan, nan, nan, nan
0.000000, 8.600000, 0.106944, nan, nan, nan, nan, nan, nan
0.000000, 8.800000, 0.106240, nan, nan, nan, nan, nan, nan
0.000000, 9.000000, 0.106253, nan, nan, nan, nan, nan, nan
0.000000, 9.000000, 0.106253, nan, nan, nan, nan, nan, nan
0.000000, 9.200000, 0.106904, nan, nan, nan, nan, nan, nan
0.000000, 9.400000, 0.108095, nan, nan, nan, nan, nan, nan
0.000000, 9.500000, 0.108860, nan, nan, nan, nan, nan, nan
0.000000, 9.600000, 0.109718, nan, nan, nan, nan, nan, nan
0.000000, 9.800000, 0.111663, nan, nan, nan, nan, nan, nan
0.000000, 10.000000, 0.113827, nan, nan, nan, nan, nan, nan
0.000000, 10.000000, 0.113827, nan, nan, nan, nan, nan, nan
0.000000, 10.200000, 0.116117, nan, nan, nan, nan, nan, nan
0.000000, 10.400000, 0.118452, nan, nan, nan, nan, nan, nan
0.000000, 10.500000, 0.119614, nan, nan, nan, nan, nan, nan
0.000000, 10.600000, 0.120764, nan, nan, nan, nan, nan, nan
0.000000, 10.800000, 0.122999, nan, nan, nan, nan, nan, nan
0.000000, 11.000000, 0.125116, nan, nan, nan, nan, nan, nan
