W0, SFE_target, SFE_actual, seed, F_bound, n_iter, N_part
3.000000, 0.250000, 0.250000, 9835844.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 77621648.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 65802579.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 44448965.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 43868507.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 86001193.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 9508618.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 70039434.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 20945483.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 10323557.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 53121418.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 97586611.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 73839483.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 76352829.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 72030249.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 78820365.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 51809430.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 13683249.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 84135073.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 45588207.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 50534839.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 37709004.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 19072413.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 92749732.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 78375177.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 64742646.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 40839021.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 82453398.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 54997482.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 44898005.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 45595495.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 23496633.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 10121455.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 55903893.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 88901093.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 7317908.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 85970837.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 82935485.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 28399209.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 63534774.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 17357678.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 76050685.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 70351772.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 36098070.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 7724080.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 97099103.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 45123060.000000, 0.000000, 15.000000, 100000.000000
3.000000, 0.250000, 0.250000, 89418990.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 68113981.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.250000, 0.250000, 78059965.000000, 0.000000, 16.000000, 100000.000000
3.000000, 0.300000, 0.300000, 9835844.000000, 0.000000, 60.000000, 100000.000000
3.000000, 0.300000, 0.300000, 77621648.000000, 0.000000, 74.000000, 100000.000000
3.000000, 0.300000, 0.300000, 65802579.000000, 0.000000, 69.000000, 100000.000000
3.000000, 0.300000, 0.300000, 44448965.000000, 0.000000, 66.000000, 100000.000000
3.000000, 0.300000, 0.300000, 43868507.000000, 0.000000, 70.000000, 100000.000000
3.000000, 0.300000, 0.300000, 86001193.000000, 0.000000, 81.000000, 100000.000000
3.000000, 0.300000, 0.300000, 9508618.000000, 0.000000, 55.000000, 100000.000000
3.000000, 0.300000, 0.300000, 70039434.000000, 0.000000, 87.000000, 100000.000000
3.000000, 0.300000, 0.300000, 20945483.000000, 0.000000, 84.000000, 100000.000000
3.000000, 0.300000, 0.300000, 10323557.000000, 0.000000, 59.000000, 100000.000000
3.000000, 0.300000, 0.300000, 53121418.000000, 0.000000, 86.000000, 100000.000000
3.000000, 0.300000, 0.300000, 97586611.000000, 0.000000, 97.000000, 100000.000000
3.000000, 0.300000, 0.300000, 73839483.000000, 0.000000, 82.000000, 100000.000000
3.000000, 0.300000, 0.300000, 76352829.000000, 0.000000, 67.000000, 100000.000000
