W0, N_part, SFE, n_seeds, p_survive, p_err, mean_Fb, std_Fb
3, 1000, 0.3, 150, 0.58, 0.0402989, 0.322013, 0.280901
3, 3000, 0.3, 150, 0.486667, 0.0408103, 0.254647, 0.264211
3, 10000, 0.3, 150, 0.346667, 0.0388578, 0.173548, 0.239303
3, 30000, 0.3, 150, 0.113333, 0.0258829, 0.0526076, 0.147617
3, 100000, 0.3, 150, 0, 0, 0, 0
3, 300000, 0.3, 150, 0, 0, 0, 0
9, 1000, 0.045, 150, 0.626667, 0.0394931, 0.0614933, 0.0549396
9, 3000, 0.045, 150, 0.486667, 0.0408103, 0.0395867, 0.045183
9, 10000, 0.045, 150, 0.226667, 0.0341847, 0.0156327, 0.0293609
9, 30000, 0.045, 150, 0.0333333, 0.0146566, 0.00208, 0.0114044
9, 100000, 0.045, 150, 0, 0, 0, 0
9, 300000, 0.045, 150, 0, 0, 0, 0
