SFE_10, Fb_MC, Fb_MC_std, Fb_Nbody, Fb_Nbody_err, Fb_continuum
0.130000, 0.000000, 0.000000, 0.015058, 0.020926, 0.000000
0.150000, 0.000000, 0.000000, 0.054090, 0.051417, 0.000000
0.170000, 0.000000, 0.000000, 0.199397, 0.032711, 0.000000
0.200000, 0.491689, 0.038703, 0.333959, 0.028361, 0.479281
0.250000, 0.762522, 0.008962, 0.537672, 0.024105, 0.760736
0.092000, 0.000000, 0.000000, 0.013527, 0.010963, 0.000000
0.149800, 0.017578, 0.034792, 0.142104, 0.030085, 0.000000
0.204900, 0.341811, 0.017735, 0.286626, 0.011308, 0.344518
0.282400, 0.563267, 0.009930, 0.429074, 0.014677, 0.560186
0.398300, 0.734456, 0.005289, 0.563000, 0.019210, 0.736293
0.498800, 0.823078, 0.007251, 0.644678, 0.009806, 0.825414
0.656900, 0.910744, 0.004402, 0.723189, 0.008716, 0.910237
