W0, SFE_crit_continuum, SFE_crit_MC, MC_err_bisection, MC_err_stat, DF_worst_err, DF_valid
2.50, 0.310471, 0.314009, 0.000928, 0.000429, 0.002150, 1
3.00, 0.297882, 0.301277, 0.000891, 0.000570, 0.002530, 1
3.50, 0.283838, 0.289061, 0.000855, 0.001182, 0.002954, 1
4.00, 0.268597, 0.267672, 0.000791, 0.000692, 0.003407, 1
4.50, 0.248968, 0.253799, 0.000750, 0.002124, 0.004040, 1
5.00, 0.227612, 0.230888, 0.000683, 0.000614, 0.005792, 1
5.50, 0.205236, 0.205134, 0.000607, 0.001717, 0.006846, 1
6.00, 0.178785, 0.191083, 0.000565, 0.001599, 0.008070, 1
6.50, 0.152552, 0.149944, 0.000443, 0.001255, 0.009825, 1
7.00, 0.124891, 0.130105, 0.000385, 0.000337, 0.009859, 1
7.50, 0.099462, 0.099708, 0.000295, 0.000408, 0.002029, 1
8.00, 0.077055, 0.078241, 0.000231, 0.000320, 0.002426, 1
8.50, 0.059696, 0.059256, 0.000175, 0.000496, 0.003166, 1
9.00, 0.047215, 0.045412, 0.000134, 0.000380, 0.003662, 1
9.50, 0.038388, 0.035008, 0.000104, 0.000010, 0.005939, 1
10.00, 0.032084, 0.031660, 0.000094, 0.000265, 0.007096, 1
10.50, 0.027566, 0.027148, 0.000080, 0.000111, 0.008571, 1
11.00, 0.024013, 0.022336, 0.000066, 0.000187, 0.009285, 1
11.50, 0.021356, 0.018927, 0.000056, 0.000158, 0.009994, 1
12.00, 0.019524, 0.020199, 0.000060, 0.000169, 0.009586, 1
12.50, 0.018349, 0.020080, 0.000059, 0.000168, 0.008204, 1
13.00, 0.017849, 0.017117, 0.000051, 0.000070, 0.008336, 1
13.50, 0.017849, 0.019727, 0.000058, 0.000165, 0.008492, 1
14.00, 0.018349, 0.018053, 0.000053, 0.000074, 0.009265, 1
14.50, 0.019390, 0.024552, 0.000073, 0.000205, 0.008938, 1
15.00, 0.020490, 0.020080, 0.000059, 0.000082, 0.008382, 1
15.50, 0.021653, 0.022735, 0.000067, 0.000059, 0.008780, 1
16.00, 0.022724, 0.019962, 0.000059, 0.000082, 0.008465, 1
16.50, 0.023522, 0.023978, 0.000071, 0.000201, 0.007829, 1
17.00, 0.023848, 0.025590, 0.000076, 0.000214, 0.008000, 1
17.50, 0.024013, 0.025140, 0.000074, 0.000103, 0.007722, 1
18.00, 0.023848, 0.026829, 0.000079, 0.000069, 0.007208, 1
18.50, 0.023522, 0.022870, 0.000068, 0.000093, 0.007334, 1
19.00, 0.023199, 0.022870, 0.000068, 0.000093, 0.007355, 1
19.50, 0.022724, 0.021813, 0.000064, 0.000089, 0.007584, 1
20.00, 0.022413, 0.073749, 0.000218, 0.000617, 0.007503, 1
