W0, SFE, F_b
3.000000, 0.010000, 0.000000
3.000000, 0.023846, 0.000000
3.000000, 0.037692, 0.000000
3.000000, 0.051538, 0.000000
3.000000, 0.065385, 0.000000
3.000000, 0.079231, 0.000000
3.000000, 0.093077, 0.000000
3.000000, 0.106923, 0.000000
3.000000, 0.120769, 0.000000
3.000000, 0.134615, 0.000000
3.000000, 0.148462, 0.000000
3.000000, 0.162308, 0.000000
3.000000, 0.176154, 0.000000
3.000000, 0.190000, 0.000000
3.000000, 0.203846, 0.000000
3.000000, 0.217692, 0.000000
3.000000, 0.231538, 0.000000
3.000000, 0.245385, 0.000000
3.000000, 0.259231, 0.000000
3.000000, 0.273077, 0.000000
3.000000, 0.286923, 0.000000
3.000000, 0.300769, 0.405370
3.000000, 0.314615, 0.640480
3.000000, 0.328462, 0.724917
3.000000, 0.342308, 0.783051
3.000000, 0.356154, 0.826895
3.000000, 0.370000, 0.861273
3.000000, 0.383846, 0.888751
3.000000, 0.397692, 0.910982
3.000000, 0.411538, 0.929073
3.000000, 0.425385, 0.943836
3.000000, 0.439231, 0.955888
3.000000, 0.453077, 0.965717
3.000000, 0.466923, 0.973684
3.000000, 0.480769, 0.980112
3.000000, 0.494615, 0.985251
3.000000, 0.508462, 0.989311
3.000000, 0.522308, 0.992473
3.000000, 0.536154, 0.994886
3.000000, 0.550000, 0.996682
6.000000, 0.010000, 0.000000
6.000000, 0.022564, 0.000000
6.000000, 0.035128, 0.000000
6.000000, 0.047692, 0.000000
6.000000, 0.060256, 0.000000
6.000000, 0.072821, 0.000000
6.000000, 0.085385, 0.000000
6.000000, 0.097949, 0.000000
6.000000, 0.110513, 0.000000
6.000000, 0.123077, 0.000000
6.000000, 0.135641, 0.000000
6.000000, 0.148205, 0.000000
6.000000, 0.160769, 0.000000
6.000000, 0.173333, 0.000000
6.000000, 0.185897, 0.332638
6.000000, 0.198462, 0.447650
6.000000, 0.211026, 0.525491
6.000000, 0.223590, 0.587732
6.000000, 0.236154, 0.640002
6.000000, 0.248718, 0.684749
6.000000, 0.261282, 0.723668
6.000000, 0.273846, 0.757649
6.000000, 0.286410, 0.787561
6.000000, 0.298974, 0.813893
6.000000, 0.311538, 0.837192
6.000000, 0.324103, 0.857759
6.000000, 0.336667, 0.875990
6.000000, 0.349231, 0.892112
6.000000, 0.361795, 0.906389
6.000000, 0.374359, 0.919020
6.000000, 0.386923, 0.930185
6.000000, 0.399487, 0.940033
6.000000, 0.412051, 0.948710
6.000000, 0.424615, 0.956346
6.000000, 0.437179, 0.963042
6.000000, 0.449744, 0.968898
6.000000, 0.462308, 0.974003
6.000000, 0.474872, 0.978436
6.000000, 0.487436, 0.982267
6.000000, 0.500000, 0.985559
9.000000, 0.010000, 0.000000
9.000000, 0.020000, 0.000000
9.000000, 0.030000, 0.000000
9.000000, 0.040000, 0.000000
9.000000, 0.050000, 0.098659
9.000000, 0.060000, 0.168042
9.000000, 0.070000, 0.218796
9.000000, 0.080000, 0.263125
9.000000, 0.090000, 0.303829
9.000000, 0.100000, 0.342191
9.000000, 0.110000, 0.378798
9.000000, 0.120000, 0.414034
9.000000, 0.130000, 0.447999
9.000000, 0.140000, 0.480868
9.000000, 0.150000, 0.512580
9.000000, 0.160000, 0.543258
9.000000, 0.170000, 0.572842
9.000000, 0.180000, 0.601246
9.000000, 0.190000, 0.628531
9.000000, 0.200000, 0.654596
9.000000, 0.210000, 0.679494
9.000000, 0.220000, 0.703169
9.000000, 0.230000, 0.725597
9.000000, 0.240000, 0.746873
9.000000, 0.250000, 0.766897
9.000000, 0.260000, 0.785804
9.000000, 0.270000, 0.803467
9.000000, 0.280000, 0.820090
9.000000, 0.290000, 0.835590
9.000000, 0.300000, 0.850055
9.000000, 0.310000, 0.863574
9.000000, 0.320000, 0.876059
9.000000, 0.330000, 0.887672
9.000000, 0.340000, 0.898440
9.000000, 0.350000, 0.908361
9.000000, 0.360000, 0.917520
9.000000, 0.370000, 0.925967
9.000000, 0.380000, 0.933722
9.000000, 0.390000, 0.940823
9.000000, 0.400000, 0.947339
12.000000, 0.010000, 0.000000
12.000000, 0.015641, 0.000000
12.000000, 0.021282, 0.026461
12.000000, 0.026923, 0.041070
12.000000, 0.032564, 0.053087
12.000000, 0.038205, 0.064227
12.000000, 0.043846, 0.075050
12.000000, 0.049487, 0.085836
12.000000, 0.055128, 0.096755
12.000000, 0.060769, 0.107934
12.000000, 0.066410, 0.119600
12.000000, 0.072051, 0.131564
12.000000, 0.077692, 0.144059
12.000000, 0.083333, 0.157157
12.000000, 0.088974, 0.170770
12.000000, 0.094615, 0.185044
12.000000, 0.100256, 0.199893
12.000000, 0.105897, 0.215426
12.000000, 0.111538, 0.231566
12.000000, 0.117179, 0.248225
12.000000, 0.122821, 0.265583
12.000000, 0.128462, 0.283512
12.000000, 0.134103, 0.301883
12.000000, 0.139744, 0.320865
12.000000, 0.145385, 0.340213
12.000000, 0.151026, 0.359990
12.000000, 0.156667, 0.379953
12.000000, 0.162308, 0.400166
12.000000, 0.167949, 0.420471
12.000000, 0.173590, 0.441016
12.000000, 0.179231, 0.461439
12.000000, 0.184872, 0.481715
12.000000, 0.190513, 0.502049
12.000000, 0.196154, 0.522024
12.000000, 0.201795, 0.541693
12.000000, 0.207436, 0.561089
12.000000, 0.213077, 0.580108
12.000000, 0.218718, 0.598724
12.000000, 0.224359, 0.616848
12.000000, 0.230000, 0.634518
