family(0=Plummer;1=Dehnen g=0), SFE_10, F_b
0.000000, 0.020000, 0.000000
0.000000, 0.040000, 0.000000
0.000000, 0.060000, 0.000000
0.000000, 0.080000, 0.000000
0.000000, 0.100000, 0.000000
0.000000, 0.120000, 0.000000
0.000000, 0.140000, 0.000000
0.000000, 0.160000, 0.000000
0.000000, 0.180000, 0.000000
0.000000, 0.200000, 0.479281
0.000000, 0.220000, 0.640918
0.000000, 0.240000, 0.728400
0.000000, 0.260000, 0.787837
0.000000, 0.280000, 0.831510
0.000000, 0.300000, 0.864710
0.000000, 0.320000, 0.890528
0.000000, 0.340000, 0.910962
0.000000, 0.360000, 0.927352
0.000000, 0.380000, 0.940528
0.000000, 0.400000, 0.951244
0.000000, 0.420000, 0.960016
0.000000, 0.440000, 0.967226
0.000000, 0.460000, 0.973148
0.000000, 0.480000, 0.978045
0.000000, 0.500000, 0.982084
0.000000, 0.520000, 0.985426
0.000000, 0.540000, 0.988188
0.000000, 0.560000, 0.990470
0.000000, 0.580000, 0.992352
0.000000, 0.600000, 0.993899
0.000000, 0.620000, 0.995167
0.000000, 0.640000, 0.996201
0.000000, 0.660000, 0.997043
0.000000, 0.680000, 0.997725
0.000000, 0.700000, 0.998269
1.000000, 0.020000, 0.000000
1.000000, 0.040000, 0.000000
1.000000, 0.060000, 0.000000
1.000000, 0.080000, 0.000000
1.000000, 0.100000, 0.000000
1.000000, 0.120000, 0.000000
1.000000, 0.140000, 0.000000
1.000000, 0.160000, 0.082724
1.000000, 0.180000, 0.236963
1.000000, 0.200000, 0.325992
1.000000, 0.220000, 0.397506
1.000000, 0.240000, 0.458174
1.000000, 0.260000, 0.509928
1.000000, 0.280000, 0.555189
1.000000, 0.300000, 0.594964
1.000000, 0.320000, 0.630209
1.000000, 0.340000, 0.661630
1.000000, 0.360000, 0.689850
1.000000, 0.380000, 0.715235
1.000000, 0.400000, 0.738193
1.000000, 0.420000, 0.759035
1.000000, 0.440000, 0.778112
1.000000, 0.460000, 0.795506
1.000000, 0.480000, 0.811519
1.000000, 0.500000, 0.826256
1.000000, 0.520000, 0.839843
1.000000, 0.540000, 0.852406
1.000000, 0.560000, 0.864066
1.000000, 0.580000, 0.874922
1.000000, 0.600000, 0.885022
1.000000, 0.620000, 0.894420
1.000000, 0.640000, 0.903246
1.000000, 0.660000, 0.911469
1.000000, 0.680000, 0.919202
1.000000, 0.700000, 0.926455
